,type,entry_price,entry_time,exit_price,exit_time,PnL
95,BUY,179.05,2023-06-06 14:45:00+00:00,178.3105,2023-06-06 15:00:00+00:00,-0.7395000000000209
96,SELL,178.05,2023-06-06 15:18:00+00:00,178.74,2023-06-06 16:25:00+00:00,-0.6899999999999977
97,SELL,178.305,2023-06-06 16:41:00+00:00,179.185,2023-06-06 18:09:00+00:00,-0.8799999999999955
98,BUY,179.655,2023-06-07 13:31:00+00:00,180.7513,2023-06-07 13:52:00+00:00,1.0962999999999852
99,SELL,180.17,2023-06-07 14:02:00+00:00,179.28,2023-06-07 14:29:00+00:00,0.8899999999999864
100,SELL,179.28,2023-06-07 14:34:00+00:00,178.7,2023-06-07 16:33:00+00:00,0.5800000000000125
101,BUY,177.88,2023-06-07 17:22:00+00:00,178.015,2023-06-07 19:10:00+00:00,0.1349999999999909
102,SELL,177.7557,2023-06-07 19:37:00+00:00,177.75,2023-06-07 19:41:00+00:00,0.005699999999990268
103,BUY,177.88,2023-06-07 19:56:00+00:00,178.0,2023-06-08 13:46:00+00:00,0.12000000000000455
104,SELL,177.85,2023-06-08 13:54:00+00:00,178.3,2023-06-08 14:15:00+00:00,-0.45000000000001705
105,BUY,178.61,2023-06-08 14:34:00+00:00,178.565,2023-06-08 14:36:00+00:00,-0.045000000000015916
106,BUY,178.8,2023-06-08 14:42:00+00:00,179.5099,2023-06-08 15:59:00+00:00,0.7098999999999762
107,BUY,179.78,2023-06-08 16:16:00+00:00,180.525,2023-06-08 19:42:00+00:00,0.7450000000000045
108,BUY,181.68,2023-06-09 13:30:00+00:00,181.74,2023-06-09 13:55:00+00:00,0.060000000000002274
109,SELL,181.7301,2023-06-09 14:26:00+00:00,181.745,2023-06-09 15:07:00+00:00,-0.01490000000001146
110,SELL,181.28,2023-06-09 15:25:00+00:00,181.44,2023-06-09 15:27:00+00:00,-0.1599999999999966
111,SELL,181.24,2023-06-09 15:28:00+00:00,180.8804,2023-06-09 16:02:00+00:00,0.35960000000000036
112,SELL,181.69,2023-06-09 19:06:00+00:00,181.49,2023-06-12 13:30:00+00:00,0.19999999999998863
113,BUY,181.6,2023-06-12 13:32:00+00:00,181.54,2023-06-12 13:36:00+00:00,-0.060000000000002274
114,BUY,181.7601,2023-06-12 13:38:00+00:00,183.19,2023-06-13 13:30:00+00:00,1.4299000000000035
115,BUY,183.896,2023-06-13 13:33:00+00:00,183.18,2023-06-13 14:06:00+00:00,-0.7159999999999798
116,SELL,182.64,2023-06-13 14:17:00+00:00,182.89,2023-06-13 14:18:00+00:00,-0.25
117,BUY,183.03,2023-06-13 15:03:00+00:00,183.09,2023-06-14 13:30:00+00:00,0.060000000000002274
118,BUY,184.1618,2023-06-14 14:20:00+00:00,182.88,2023-06-14 18:02:00+00:00,-1.281800000000004
119,SELL,182.62,2023-06-14 18:05:00+00:00,182.86,2023-06-14 18:10:00+00:00,-0.2400000000000091
120,SELL,182.3103,2023-06-14 18:16:00+00:00,182.65,2023-06-14 18:29:00+00:00,-0.33969999999999345
121,BUY,182.97,2023-06-14 18:35:00+00:00,183.75,2023-06-14 18:52:00+00:00,0.7800000000000011
122,BUY,183.86,2023-06-14 19:00:00+00:00,183.51,2023-06-14 19:29:00+00:00,-0.35000000000002274
123,SELL,183.15,2023-06-14 19:50:00+00:00,183.96,2023-06-14 19:59:00+00:00,-0.8100000000000023
124,BUY,184.33,2023-06-15 13:31:00+00:00,184.04,2023-06-15 13:37:00+00:00,-0.29000000000002046
125,BUY,184.92,2023-06-15 13:48:00+00:00,185.22,2023-06-15 14:17:00+00:00,0.30000000000001137
126,SELL,185.26,2023-06-15 15:07:00+00:00,186.42,2023-06-16 13:30:00+00:00,-1.1599999999999966
127,SELL,185.9,2023-06-16 13:31:00+00:00,185.5333,2023-06-16 14:00:00+00:00,0.3667000000000087
128,BUY,185.9339,2023-06-16 15:08:00+00:00,185.665,2023-06-16 15:22:00+00:00,-0.26890000000000214
129,SELL,185.01,2023-06-16 18:31:00+00:00,185.88,2023-06-20 13:48:00+00:00,-0.8700000000000045
130,BUY,185.75,2023-06-20 14:08:00+00:00,185.67,2023-06-20 14:12:00+00:00,-0.0800000000000125
131,BUY,184.755,2023-06-20 14:40:00+00:00,184.84,2023-06-20 20:00:00+00:00,0.08500000000000796
132,BUY,184.985,2023-06-21 13:31:00+00:00,184.95,2023-06-21 13:45:00+00:00,-0.03500000000002501
133,SELL,184.415,2023-06-21 13:51:00+00:00,184.385,2023-06-21 14:15:00+00:00,0.030000000000001137
134,BUY,183.6384,2023-06-21 14:47:00+00:00,183.88,2023-06-21 16:45:00+00:00,0.24160000000000537
135,SELL,184.255,2023-06-21 19:32:00+00:00,184.88,2023-06-22 13:36:00+00:00,-0.625
136,BUY,185.225,2023-06-22 13:55:00+00:00,185.605,2023-06-23 13:30:00+00:00,0.37999999999999545
137,SELL,185.241,2023-06-23 13:45:00+00:00,187.295,2023-06-26 13:38:00+00:00,-2.0539999999999736
138,BUY,187.5985,2023-06-26 13:50:00+00:00,185.625,2023-06-26 17:25:00+00:00,-1.9735000000000014
139,BUY,185.9937,2023-06-27 13:30:00+00:00,188.085,2023-06-27 19:50:00+00:00,2.091300000000018
140,BUY,188.49,2023-06-28 13:36:00+00:00,189.3119,2023-06-28 16:28:00+00:00,0.8218999999999994
141,SELL,188.6,2023-06-28 16:53:00+00:00,189.28,2023-06-28 19:59:00+00:00,-0.6800000000000068
142,BUY,189.655,2023-06-29 13:30:00+00:00,189.33,2023-06-29 13:31:00+00:00,-0.32499999999998863
143,BUY,189.78,2023-06-29 13:32:00+00:00,189.615,2023-06-29 13:35:00+00:00,-0.16499999999999204
144,BUY,189.6199,2023-06-29 13:38:00+00:00,189.289,2023-06-29 14:07:00+00:00,-0.33090000000001396
145,SELL,189.1174,2023-06-29 14:10:00+00:00,189.74,2023-06-29 14:21:00+00:00,-0.6226000000000056
146,SELL,189.57,2023-06-29 14:23:00+00:00,191.3201,2023-06-30 13:30:00+00:00,-1.7501000000000033
147,BUY,191.7559,2023-06-30 13:31:00+00:00,192.3499,2023-06-30 14:57:00+00:00,0.5939999999999941
